diagnosis,recommended_drugs
"Major depressive disorder, single episode - high anxiety levels","Sertraline, Fluoxetine, Escitalopram"
"body dysmorphic disorder, needs dosage adjustment","Sertraline, Fluoxetine, Escitalopram"
Attention-deficit hyperactivity,"Methylphenidate, Amphetamine, Atomoxetine"
"history of major depressive disorder, recurrent","Venlafaxine, Duloxetine, Bupropion"
"obsessive-compulsive disorder, outpatient follow-up","Fluvoxamine, Clomipramine, Fluoxetine"
"brief psychotic disorder, agitated behavior","Haloperidol, Risperidone, Olanzapine"
adjustment disorder,"Escitalopram, Sertraline, Bupropion"
Obsessive-compulsive disorder - compliant with meds,"Fluvoxamine, Clomipramine, Fluoxetine"
Chronic Restless legs syndrome,"Pramipexole, Ropinirole, Gabapentin"
Assessment: Nicotine dependence,"Varenicline, Bupropion, Nicotine patch"
Bipolar I,"Lurasidone, Quetiapine, Lamotrigine"
attention-deficit hyperactivity,"Methylphenidate, Amphetamine, Atomoxetine"
"Assessment: Major depressive disorder, single episode","Sertraline, Fluoxetine, Escitalopram"
confirmed adjustment disorder with depressed mood,"Escitalopram, Sertraline, Bupropion"
Patient presents with Post-traumatic stress disorder (PTSD),"Sertraline, Paroxetine, Prazosin"
"mild bipolar i disorder, manic episode","Lithium, Valproate, Quetiapine"
Suspected Schizotypal personality disorder,"Risperidone, Olanzapine, Haloperidol"
Schizoaffective disorder,"Paliperidone, Clozapine, Haloperidol"
"suspected major depressive disorder, recurrent","Venlafaxine, Duloxetine, Bupropion"
"borderline personality disorder, requires hospitalization","Lamotrigine, Aripiprazole, Fluoxetine"
"Major depressive disorder, recurrent - experiencing hallucinations","Venlafaxine, Duloxetine, Bupropion"
Schizotypal personality disorder - resistant to therapy,"Risperidone, Olanzapine, Haloperidol"
high risk of narcolepsy,"Modafinil, Armodafinil, Sodium oxybate"
"opioid dependence, cognitive decline","Buprenorphine, Naltrexone, Methadone"
assessment: seasonal affective disorder,"Bupropion, Fluoxetine, Sertraline"
Bipolar II disorder - worsening symptoms,"Lamotrigine, Lithium, Quetiapine"
History of Bipolar II disorder,"Lamotrigine, Lithium, Quetiapine"
alcohol withdrawal syndrome,"Chlordiazepoxide, Diazepam, Lorazepam"
opioid withdrawal,"Buprenorphine, Methadone, Clonidine"
"schizotypal personality disorder, first psychotic episode","Risperidone, Olanzapine, Haloperidol"
"social anxiety disorder, poor sleep quality","Sertraline, Propranolol, Venlafaxine"
Generalized anxiety disorder - mood swings reported,"Sertraline, Buspirone, Venlafaxine"
"Schizophrenia, unspecified - compliant with meds","Risperidone, Olanzapine, Aripiprazole"
High risk of Alcohol withdrawal syndrome,"Chlordiazepoxide, Diazepam, Lorazepam"
suspected seasonal affective disorder,"Bupropion, Fluoxetine, Sertraline"
Alcohol withdrawal syndrome,"Chlordiazepoxide, Diazepam, Lorazepam"
"cyclothymic disorder, compliant with meds","Valproate, Lithium, Lamotrigine"
"brief psychotic disorder, outpatient follow-up","Haloperidol, Risperidone, Olanzapine"
Panic disorder - high anxiety levels,"Alprazolam, Clonazepam, Paroxetine"
"body dysmorphic disorder, compliant with meds","Sertraline, Fluoxetine, Escitalopram"
High risk of Alcohol withdrawal syndrome,"Chlordiazepoxide, Diazepam, Lorazepam"
Opioid dependence - poor sleep quality,"Buprenorphine, Naltrexone, Methadone"
assessment: nervousness or severe stress,"Hydroxyzine, Buspirone, Propranolol"
Hoarding disorder - requires hospitalization,"Venlafaxine, Paroxetine, Sertraline"
Suspected Attention-deficit hyperactivity disorder (ADHD),"Methylphenidate, Amphetamine, Atomoxetine"
"acute stress disorder, poor sleep quality","Clonazepam, Propranolol, Hydroxyzine"
Patient presents with Tourette's disorder,"Haloperidol, Pimozide, Clonidine"
Acute stress,"Clonazepam, Propranolol, Hydroxyzine"
severe binge-eating disorder,"Lisdexamfetamine, Topiramate, Fluoxetine"
Nicotine dependence,"Varenicline, Bupropion, Nicotine patch"
Suspected Social anxiety disorder,"Sertraline, Propranolol, Venlafaxine"
assessment: narcolepsy,"Modafinil, Armodafinil, Sodium oxybate"
Assessment: Adjustment disorder with depressed mood,"Escitalopram, Sertraline, Bupropion"
"social anxiety disorder, experiencing hallucinations","Sertraline, Propranolol, Venlafaxine"
"schizotypal personality disorder, mood swings reported","Risperidone, Olanzapine, Haloperidol"
chronic bipolar ii disorder,"Lamotrigine, Lithium, Quetiapine"
Bipolar II,"Lamotrigine, Lithium, Quetiapine"
Assessment: Restless legs syndrome,"Pramipexole, Ropinirole, Gabapentin"
Borderline personality disorder - patient stable,"Lamotrigine, Aripiprazole, Fluoxetine"
acute exacerbation of acute stress disorder,"Clonazepam, Propranolol, Hydroxyzine"
"schizoaffective disorder, first psychotic episode","Paliperidone, Clozapine, Haloperidol"
Body dysmorphic disorder - patient stable,"Sertraline, Fluoxetine, Escitalopram"
"nicotine dependence, suicidal ideation present","Varenicline, Bupropion, Nicotine patch"
Nervousness or severe stress - resistant to therapy,"Hydroxyzine, Buspirone, Propranolol"
"agoraphobia, high anxiety levels","Paroxetine, Sertraline, Fluoxetine"
assessment: opioid withdrawal,"Buprenorphine, Methadone, Clonidine"
Delusional disorder - resistant to therapy,"Aripiprazole, Risperidone, Pimozide"
Opioid withdrawal - outpatient follow-up,"Buprenorphine, Methadone, Clonidine"
"tourette's disorder, compliant with meds","Haloperidol, Pimozide, Clonidine"
Confirmed Agoraphobia,"Paroxetine, Sertraline, Fluoxetine"
Severe Narcolepsy,"Modafinil, Armodafinil, Sodium oxybate"
Alcohol dependence - patient stable,"Naltrexone, Acamprosate, Disulfiram"
confirmed borderline personality disorder,"Lamotrigine, Aripiprazole, Fluoxetine"
"agoraphobia, requires hospitalization","Paroxetine, Sertraline, Fluoxetine"
History of Tourette's disorder,"Haloperidol, Pimozide, Clonidine"
chronic post-traumatic stress disorder (ptsd),"Sertraline, Paroxetine, Prazosin"
"High risk of Schizophrenia, unspecified","Risperidone, Olanzapine, Aripiprazole"
"Bipolar I disorder, depressed episode - cognitive decline","Lurasidone, Quetiapine, Lamotrigine"
confirmed bipolar ii disorder,"Lamotrigine, Lithium, Quetiapine"
anorexia nervosa,"Olanzapine, Fluoxetine, Mirtazapine"
Narcolepsy - outpatient follow-up,"Modafinil, Armodafinil, Sodium oxybate"
"delusional disorder, agitated behavior","Aripiprazole, Risperidone, Pimozide"
"bulimia nervosa, first psychotic episode","Fluoxetine, Topiramate, Sertraline"
mild primary insomnia,"Zolpidem, Eszopiclone, Trazodone"
history of persistent depressive disorder (dysthymia),"Citalopram, Sertraline, Mirtazapine"
Primary insomnia,"Zolpidem, Eszopiclone, Trazodone"
Brief psychotic disorder - first psychotic episode,"Haloperidol, Risperidone, Olanzapine"
opioid withdrawal,"Buprenorphine, Methadone, Clonidine"
"social anxiety disorder, outpatient follow-up","Sertraline, Propranolol, Venlafaxine"
Major depressive,"Sertraline, Fluoxetine, Escitalopram"
"tourette's disorder, experiencing hallucinations","Haloperidol, Pimozide, Clonidine"
alcohol withdrawal syndrome,"Chlordiazepoxide, Diazepam, Lorazepam"
"Mild Bipolar I disorder, manic episode","Lithium, Valproate, Quetiapine"
hoarding disorder,"Venlafaxine, Paroxetine, Sertraline"
"alcohol dependence, requires hospitalization","Naltrexone, Acamprosate, Disulfiram"
Bipolar II disorder - experiencing hallucinations,"Lamotrigine, Lithium, Quetiapine"
"nervousness or severe stress, mood swings reported","Hydroxyzine, Buspirone, Propranolol"
confirmed post-traumatic stress disorder (ptsd),"Sertraline, Paroxetine, Prazosin"
"generalized anxiety disorder, high anxiety levels","Sertraline, Buspirone, Venlafaxine"
"agoraphobia, high anxiety levels","Paroxetine, Sertraline, Fluoxetine"
Tourette's disorder,"Haloperidol, Pimozide, Clonidine"
"cyclothymic disorder, patient stable","Valproate, Lithium, Lamotrigine"
Schizotypal personality,"Risperidone, Olanzapine, Haloperidol"
severe agoraphobia,"Paroxetine, Sertraline, Fluoxetine"
Confirmed Seasonal affective disorder,"Bupropion, Fluoxetine, Sertraline"
"hoarding disorder, requires hospitalization","Venlafaxine, Paroxetine, Sertraline"
"autism spectrum disorder (irritability), requires hospitalization","Risperidone, Aripiprazole, Guanfacine"
Acute stress disorder,"Clonazepam, Propranolol, Hydroxyzine"
Severe Delusional disorder,"Aripiprazole, Risperidone, Pimozide"
mild opioid dependence,"Buprenorphine, Naltrexone, Methadone"
Suspected Agoraphobia,"Paroxetine, Sertraline, Fluoxetine"
alcohol dependence,"Naltrexone, Acamprosate, Disulfiram"
"nervousness or severe stress, suicidal ideation present","Hydroxyzine, Buspirone, Propranolol"
"major depressive disorder, recurrent","Venlafaxine, Duloxetine, Bupropion"
"Bipolar I disorder, manic episode - first psychotic episode","Lithium, Valproate, Quetiapine"
"narcolepsy, poor sleep quality","Modafinil, Armodafinil, Sodium oxybate"
high risk of nicotine dependence,"Varenicline, Bupropion, Nicotine patch"
Restless legs,"Pramipexole, Ropinirole, Gabapentin"
severe social anxiety disorder,"Sertraline, Propranolol, Venlafaxine"
Delusional disorder,"Aripiprazole, Risperidone, Pimozide"
patient presents with anorexia nervosa,"Olanzapine, Fluoxetine, Mirtazapine"
borderline personality disorder,"Lamotrigine, Aripiprazole, Fluoxetine"
DSM-5 Diagnosis: Bulimia nervosa,"Fluoxetine, Topiramate, Sertraline"
high risk of narcolepsy,"Modafinil, Armodafinil, Sodium oxybate"
Suspected Social anxiety disorder,"Sertraline, Propranolol, Venlafaxine"
DSM-5 Diagnosis: Tourette's disorder,"Haloperidol, Pimozide, Clonidine"
Panic disorder - suicidal ideation present,"Alprazolam, Clonazepam, Paroxetine"
Opioid dependence,"Buprenorphine, Naltrexone, Methadone"
chronic tourette's disorder,"Haloperidol, Pimozide, Clonidine"
Chronic Brief psychotic disorder,"Haloperidol, Risperidone, Olanzapine"
Alcohol dependence,"Naltrexone, Acamprosate, Disulfiram"
Body dysmorphic disorder - worsening symptoms,"Sertraline, Fluoxetine, Escitalopram"
"Schizophrenia, unspecified - poor sleep quality","Risperidone, Olanzapine, Aripiprazole"
Attention-deficit hyperactivity disorder (ADHD) - compliant with meds,"Methylphenidate, Amphetamine, Atomoxetine"
severe opioid withdrawal,"Buprenorphine, Methadone, Clonidine"
Brief psychotic disorder - patient stable,"Haloperidol, Risperidone, Olanzapine"
"autism spectrum disorder (irritability), compliant with meds","Risperidone, Aripiprazole, Guanfacine"
"narcolepsy, first psychotic episode","Modafinil, Armodafinil, Sodium oxybate"
bipolar ii disorder,"Lamotrigine, Lithium, Quetiapine"
mild borderline personality disorder,"Lamotrigine, Aripiprazole, Fluoxetine"
dsm-5 diagnosis: alcohol withdrawal syndrome,"Chlordiazepoxide, Diazepam, Lorazepam"
"seasonal affective disorder, outpatient follow-up","Bupropion, Fluoxetine, Sertraline"
"primary insomnia, agitated behavior","Zolpidem, Eszopiclone, Trazodone"
"Suspected Schizophrenia, unspecified","Risperidone, Olanzapine, Aripiprazole"
adjustment disorder,"Escitalopram, Sertraline, Bupropion"
Autism spectrum disorder (irritability) - needs dosage adjustment,"Risperidone, Aripiprazole, Guanfacine"
Assessment: Primary insomnia,"Zolpidem, Eszopiclone, Trazodone"
Adjustment disorder with depressed mood - first psychotic episode,"Escitalopram, Sertraline, Bupropion"
Generalized anxiety disorder - high anxiety levels,"Sertraline, Buspirone, Venlafaxine"
Tourette's disorder,"Haloperidol, Pimozide, Clonidine"
Opioid dependence,"Buprenorphine, Naltrexone, Methadone"
bulimia nervosa,"Fluoxetine, Topiramate, Sertraline"
bipolar i,"Lithium, Valproate, Quetiapine"
"seasonal affective disorder, high anxiety levels","Bupropion, Fluoxetine, Sertraline"
dsm-5 diagnosis: schizoaffective disorder,"Paliperidone, Clozapine, Haloperidol"
borderline personality,"Lamotrigine, Aripiprazole, Fluoxetine"
confirmed body dysmorphic disorder,"Sertraline, Fluoxetine, Escitalopram"
"Suspected Schizophrenia, unspecified","Risperidone, Olanzapine, Aripiprazole"
DSM-5 Diagnosis: Tourette's disorder,"Haloperidol, Pimozide, Clonidine"
"post-traumatic stress disorder (ptsd), cognitive decline","Sertraline, Paroxetine, Prazosin"
Assessment: Agoraphobia,"Paroxetine, Sertraline, Fluoxetine"
Post-traumatic stress,"Sertraline, Paroxetine, Prazosin"
Obsessive-compulsive disorder,"Fluvoxamine, Clomipramine, Fluoxetine"
Binge-eating disorder,"Lisdexamfetamine, Topiramate, Fluoxetine"
high risk of body dysmorphic disorder,"Sertraline, Fluoxetine, Escitalopram"
Brief psychotic disorder,"Haloperidol, Risperidone, Olanzapine"
High risk of Hoarding disorder,"Venlafaxine, Paroxetine, Sertraline"
Attention-deficit hyperactivity disorder (ADHD) - first psychotic episode,"Methylphenidate, Amphetamine, Atomoxetine"
acute exacerbation of adjustment disorder with depressed mood,"Escitalopram, Sertraline, Bupropion"
high risk of autism spectrum disorder (irritability),"Risperidone, Aripiprazole, Guanfacine"
patient presents with obsessive-compulsive disorder,"Fluvoxamine, Clomipramine, Fluoxetine"
Body dysmorphic disorder - needs dosage adjustment,"Sertraline, Fluoxetine, Escitalopram"
"seasonal affective disorder, worsening symptoms","Bupropion, Fluoxetine, Sertraline"
Hoarding disorder,"Venlafaxine, Paroxetine, Sertraline"
Bulimia nervosa - cognitive decline,"Fluoxetine, Topiramate, Sertraline"
Confirmed Binge-eating disorder,"Lisdexamfetamine, Topiramate, Fluoxetine"
"opioid dependence, outpatient follow-up","Buprenorphine, Naltrexone, Methadone"
"schizotypal personality disorder, experiencing hallucinations","Risperidone, Olanzapine, Haloperidol"
hoarding disorder,"Venlafaxine, Paroxetine, Sertraline"
Persistent depressive disorder (Dysthymia) - mood swings reported,"Citalopram, Sertraline, Mirtazapine"
Severe Delusional disorder,"Aripiprazole, Risperidone, Pimozide"
Persistent depressive,"Citalopram, Sertraline, Mirtazapine"
schizoaffective disorder,"Paliperidone, Clozapine, Haloperidol"
Major depressive,"Sertraline, Fluoxetine, Escitalopram"
"alcohol dependence, needs dosage adjustment","Naltrexone, Acamprosate, Disulfiram"
Panic disorder - needs dosage adjustment,"Alprazolam, Clonazepam, Paroxetine"
Severe Primary insomnia,"Zolpidem, Eszopiclone, Trazodone"
"assessment: major depressive disorder, single episode","Sertraline, Fluoxetine, Escitalopram"
suspected binge-eating disorder,"Lisdexamfetamine, Topiramate, Fluoxetine"
Confirmed Opioid withdrawal,"Buprenorphine, Methadone, Clonidine"
"post-traumatic stress disorder (ptsd), cognitive decline","Sertraline, Paroxetine, Prazosin"
History of Nervousness or severe stress,"Hydroxyzine, Buspirone, Propranolol"
High risk of Persistent depressive disorder (Dysthymia),"Citalopram, Sertraline, Mirtazapine"
Hoarding disorder,"Venlafaxine, Paroxetine, Sertraline"
Post-traumatic stress disorder (PTSD) - patient stable,"Sertraline, Paroxetine, Prazosin"
mild tourette's disorder,"Haloperidol, Pimozide, Clonidine"
severe acute stress disorder,"Clonazepam, Propranolol, Hydroxyzine"
"Severe Major depressive disorder, recurrent","Venlafaxine, Duloxetine, Bupropion"
history of agoraphobia,"Paroxetine, Sertraline, Fluoxetine"
"bipolar ii disorder, suicidal ideation present","Lamotrigine, Lithium, Quetiapine"
patient presents with seasonal affective disorder,"Bupropion, Fluoxetine, Sertraline"
Obsessive-compulsive disorder,"Fluvoxamine, Clomipramine, Fluoxetine"
Borderline personality disorder - needs dosage adjustment,"Lamotrigine, Aripiprazole, Fluoxetine"
Chronic Obsessive-compulsive disorder,"Fluvoxamine, Clomipramine, Fluoxetine"
"Acute exacerbation of Schizophrenia, unspecified","Risperidone, Olanzapine, Aripiprazole"
Obsessive-compulsive disorder,"Fluvoxamine, Clomipramine, Fluoxetine"
"adjustment disorder with depressed mood, high anxiety levels","Escitalopram, Sertraline, Bupropion"
Opioid withdrawal - compliant with meds,"Buprenorphine, Methadone, Clonidine"
"opioid dependence, poor sleep quality","Buprenorphine, Naltrexone, Methadone"
Acute stress disorder - cognitive decline,"Clonazepam, Propranolol, Hydroxyzine"
Alcohol withdrawal syndrome,"Chlordiazepoxide, Diazepam, Lorazepam"
"seasonal affective disorder, poor sleep quality","Bupropion, Fluoxetine, Sertraline"
severe anorexia nervosa,"Olanzapine, Fluoxetine, Mirtazapine"
Narcolepsy - experiencing hallucinations,"Modafinil, Armodafinil, Sodium oxybate"
Confirmed Body dysmorphic disorder,"Sertraline, Fluoxetine, Escitalopram"
"nicotine dependence, worsening symptoms","Varenicline, Bupropion, Nicotine patch"
dsm-5 diagnosis: delusional disorder,"Aripiprazole, Risperidone, Pimozide"
anorexia nervosa,"Olanzapine, Fluoxetine, Mirtazapine"
mild nervousness or severe stress,"Hydroxyzine, Buspirone, Propranolol"
