diagnosis,severity
"S06.9: Intracranial injury, unspecified (fatal prognosis risk)",HIGH
Acute leukemia of unspecified cell type,HIGH
G12.21 - Amyotrophic lateral sclerosis (ALS),HIGH
"Infectious gastroenteritis and colitis - uncomfortable episode, managing with meds",MEDIUM
M54.5 - Low back pain,LOW
"Flare-up event due to Crohn disease, unspecified",MEDIUM
"crohn disease, unspecified",MEDIUM
"Chronic condition, ongoing treatment due to Peripheral vascular disease, unspecified",MEDIUM
"otitis media, unspecified",LOW
Patient presents with Liver cell carcinoma,HIGH
"Acute emergency, rapid response due to Multiple sclerosis",HIGH
"G12.21: Amyotrophic lateral sclerosis (ALS) (advanced stage, palliative care discussed)",HIGH
"Acute emergency, rapid response due to End stage renal disease",HIGH
"confirmed case of urticaria, unspecified",LOW
"Uncomfortable episode, managing with meds due to Paroxysmal atrial fibrillation",MEDIUM
"Pneumonia, unspecified organism",MEDIUM
"Fatal prognosis risk due to Acute myocardial infarction, unspecified",HIGH
Multiple sclerosis - fatal prognosis risk,HIGH
"D65: Disseminated intravascular coagulation (critical condition, ICU admission)",HIGH
"Minor pain, prescribed rest due to Acute nasopharyngitis (common cold)",LOW
Acute respiratory distress syndrome - fatal prognosis risk,HIGH
"S06.9: Intracranial injury, unspecified (severe presentation, urgent care needed)",HIGH
"C95.00: Acute leukemia of unspecified cell type (life-threatening, immediate intervention)",HIGH
"Dyslipidemia, unspecified - follow-up required in 1 week",MEDIUM
"Mild symptoms, no complications due to Unspecified abdominal pain",LOW
diverticulosis of large intestine,MEDIUM
"Chronic viral hepatitis C - chronic condition, ongoing treatment",MEDIUM
"gastritis, unspecified",LOW
"iron deficiency anemia, unspecified",LOW
"Crohn disease, unspecified - uncomfortable episode, managing with meds",MEDIUM
Chronic viral hepatitis C,MEDIUM
nervousness,LOW
"panniculitis, unspecified",LOW
"Follow-up required in 1 week due to Thyrotoxicosis, unspecified",MEDIUM
"G35: Multiple sclerosis (advanced stage, palliative care discussed)",HIGH
"Flare-up event due to Epilepsy, unspecified, not intractable",MEDIUM
"Advanced stage, palliative care discussed due to Liver cell carcinoma",HIGH
"Constipation, unspecified - minor pain, prescribed rest",LOW
"Minor condition, follow-up in 2 weeks due to Vitamin E deficiency",LOW
F41.1 Generalized anxiety,MEDIUM
"acute tonsillitis, unspecified",LOW
"post-traumatic stress disorder, unspecified",MEDIUM
"Acute respiratory failure, unspecified - life-threatening, immediate intervention",HIGH
"G43.909 - Migraine, unspecified, not intractable",MEDIUM
"G40.909 Epilepsy, unspecified,",MEDIUM
"M47.812: Spondylosis with radiculopathy, cervical (needs specialist referral)",MEDIUM
"J03.90 Acute tonsillitis,",LOW
"I46.9 Cardiac arrest,",HIGH
L40.0: Psoriasis vulgaris (recurring symptoms),MEDIUM
C95.00: Acute leukemia of unspecified cell type (fatal prognosis risk),HIGH
Infectious gastroenteritis and colitis,MEDIUM
C61 - Malignant neoplasm of prostate,HIGH
Benign prostatic hyperplasia without obstruction - flare-up event,MEDIUM
malignant neoplasm of unspecified site of breast,HIGH
"patient presents with dental caries, unspecified",LOW
Type 2 diabetes mellitus without complications - stable but requires medication adjustment,MEDIUM
"Needs specialist referral due to Dyslipidemia, unspecified",MEDIUM
"S06.9: Intracranial injury, unspecified (severe presentation, urgent care needed)",HIGH
Severe trauma protocol active due to Acute respiratory distress syndrome,HIGH
"patient presents with viral wart, unspecified",LOW
"Alzheimer disease, unspecified - fatal prognosis risk",HIGH
"R45.0: Nervousness (patient stable, outpatient treatment)",LOW
"confirmed case of gastritis, unspecified",LOW
K30: Functional dyspepsia (self-limiting condition),LOW
"Mild symptoms, no complications due to Lateral epicondylitis",LOW
I48.0: Paroxysmal atrial fibrillation (flare-up event),MEDIUM
"Patient presents with Urticaria, unspecified",LOW
"G43.909: Migraine, unspecified, not intractable (moderate symptoms, requires monitoring)",MEDIUM
"intracranial injury, problem",HIGH
"assessment: intracranial injury, unspecified",HIGH
"N39.0 - Urinary tract infection, site not specified",LOW
type 1 diabetes with ketoacidosis,HIGH
G12.21 - Amyotrophic lateral sclerosis (ALS),HIGH
"D69.6: Thrombocytopenia, unspecified (moderate symptoms, requires monitoring)",MEDIUM
"Stable but requires medication adjustment due to Thrombocytopenia, unspecified",MEDIUM
"I63.9 - Cerebral infarction, unspecified (stroke)",HIGH
"Post-traumatic stress disorder, unspecified - chronic condition, ongoing treatment",MEDIUM
vitamin e deficiency,LOW
"Stable but requires medication adjustment due to Peripheral vascular disease, unspecified",MEDIUM
"Abdominal aortic aneurysm, ruptured",HIGH
"I21.9: Acute myocardial infarction, unspecified (advanced stage, palliative care discussed)",HIGH
"Viral infection, unspecified",LOW
"History of Acute myocardial infarction, unspecified",HIGH
"Thyrotoxicosis, unspecified - follow-up required in 1 week",MEDIUM
"Uncomfortable episode, managing with meds due to Bipolar disorder, unspecified",MEDIUM
"Infectious gastroenteritis and colitis - uncomfortable episode, managing with meds",MEDIUM
suspected type 1 diabetes with ketoacidosis,HIGH
S90.0: Contusion of ankle (routine exam),LOW
"Assessment: Dental caries, unspecified",LOW
gastro-esophageal reflux problem,MEDIUM
"E03.9: Hypothyroidism, unspecified (stable but requires medication adjustment)",MEDIUM
Patient presents with Generalized anxiety disorder,MEDIUM
"K21.0: Gastro-esophageal reflux with esophagitis (chronic condition, ongoing treatment)",MEDIUM
"K02.9: Dental caries, unspecified (patient stable, outpatient treatment)",LOW
"Vitamin E deficiency - patient stable, outpatient treatment",LOW
"Dental caries, unspecified - minor condition, follow-up in 2 weeks",LOW
Liver cell carcinoma,HIGH
"Intracranial injury, unspecified - immediate surgery required",HIGH
M81.0 Age-related osteoporosis,MEDIUM
"B20: Human immunodeficiency virus (HIV) disease (life-threatening, immediate intervention)",HIGH
"migraine, unspecified, not intractable",MEDIUM
"L30.9: Dermatitis, unspecified (routine exam)",LOW
"Dental caries, unspecified - mild symptoms, no complications",LOW
paroxysmal atrial problem,MEDIUM
"Pulmonary embolism without acute cor pulmonale - severe presentation, urgent care needed",HIGH
suspected myalgia,LOW
"C71.9: Malignant neoplasm of brain, unspecified (advanced stage, palliative care discussed)",HIGH
Recurring symptoms due to Essential (primary) hypertension,MEDIUM
Chronic gingivitis,LOW
"Mild intermittent asthma, uncomplicated - flare-up event",MEDIUM
"Mild symptoms, no complications due to Contusion of finger",LOW
Malignant neoplasm of unspecified site of breast,HIGH
"Ulcerative colitis, unspecified - recurring symptoms",MEDIUM
Immediate surgery required due to Disseminated intravascular coagulation,HIGH
"Self-limiting condition due to Allergic rhinitis, unspecified",LOW
"Patient presents with Migraine, unspecified, not intractable",MEDIUM
"Ulcerative colitis, unspecified - recurring symptoms",MEDIUM
"Severe trauma protocol active due to Hydrocephalus, unspecified",HIGH
"Constipation, unspecified - minor condition, follow-up in 2 weeks",LOW
Infectious gastroenteritis and colitis - flare-up event,MEDIUM
"confirmed case of migraine, unspecified, not intractable",MEDIUM
Vitamin E deficiency - self-limiting condition,LOW
assessment: type 2 diabetes with hyperglycemia,HIGH
K21.0 - Gastro-esophageal reflux with esophagitis,MEDIUM
suspected atherosclerotic heart disease,MEDIUM
"A41.9: Sepsis, unspecified organism (severe trauma protocol active)",HIGH
Obstructive sleep apnea - needs specialist referral,MEDIUM
generalized anxiety problem,MEDIUM
"J20.9: Acute bronchitis, unspecified (moderate symptoms, requires monitoring)",MEDIUM
"Hypothyroidism, unspecified - uncomfortable episode, managing with meds",MEDIUM
"Amyotrophic lateral sclerosis (ALS) - severe presentation, urgent care needed",HIGH
E11.9 - Type 2 diabetes mellitus without complications,MEDIUM
Lateral epicondylitis - slight discomfort reported,LOW
"Sepsis, unspecified organism - life-threatening, immediate intervention",HIGH
"Self-limiting condition due to Urinary tract infection, site not specified",LOW
"spondylosis with radiculopathy, cervical",MEDIUM
Acne vulgaris - slight discomfort reported,LOW
"cerebral infarction, unspecified (stroke)",HIGH
"Migraine, unspecified, not intractable - chronic condition, ongoing treatment",MEDIUM
I10: Essential (primary) hypertension (stable but requires medication adjustment),MEDIUM
G12.21: Amyotrophic lateral sclerosis (ALS) (fatal prognosis risk),HIGH
R10.9 - Unspecified abdominal pain,LOW
"Needs specialist referral due to Chronic kidney disease, stage 3",MEDIUM
"Patient stable, outpatient treatment due to Conjunctivitis, unspecified",LOW
"Thyrotoxicosis, unspecified - chronic condition, ongoing treatment",MEDIUM
"J96.00 - Acute respiratory failure, unspecified",HIGH
"K51.90 Ulcerative colitis,",MEDIUM
"Iron deficiency anemia, unspecified - mild symptoms, no complications",LOW
Psoriasis vulgaris,MEDIUM
J06.9 Acute upper,LOW
"Malignant neoplasm of pancreas, unspecified",HIGH
"C95.00: Acute leukemia of unspecified cell type (critical condition, ICU admission)",HIGH
"F32.1: Major depressive disorder, single episode, moderate (uncomfortable episode, managing with meds)",MEDIUM
"Cardiac arrest, cause unspecified - life-threatening, immediate intervention",HIGH
"assessment: malignant melanoma of skin, unspecified",HIGH
"Sepsis, unspecified organism - severe trauma protocol active",HIGH
Chronic obstructive pulmonary disease with exacerbation - stable but requires medication adjustment,MEDIUM
"assessment: panniculitis, unspecified",LOW
"Calculus of gallbladder without obstruction - uncomfortable episode, managing with meds",MEDIUM
Suspected Malignant neoplasm of unspecified part of bronchus or lung,HIGH
liver cell problem,HIGH
"Self-limiting condition due to Conjunctivitis, unspecified",LOW
"Allergic rhinitis due to pollen - mild symptoms, no complications",LOW
"Moderate symptoms, requires monitoring due to Thrombocytopenia, unspecified",MEDIUM
Malignant neoplasm of unspecified site of breast - severe trauma protocol active,HIGH
"Chronic condition, ongoing treatment due to Spondylosis with radiculopathy, cervical",MEDIUM
human immunodeficiency problem,HIGH
"History of Peripheral vascular disease, unspecified",MEDIUM
"K50.90: Crohn disease, unspecified (follow-up required in 1 week)",MEDIUM
paroxysmal atrial fibrillation,MEDIUM
F51.01: Primary insomnia (routine exam),LOW
Atherosclerotic heart disease,MEDIUM
"sepsis, unspecified problem",HIGH
"Malignant neoplasm of unspecified part of bronchus or lung - life-threatening, immediate intervention",HIGH
"Migraine, unspecified, not intractable - recurring symptoms",MEDIUM
"assessment: pneumonia, unspecified organism",MEDIUM
"I26.99: Pulmonary embolism without acute cor pulmonale (acute emergency, rapid response)",HIGH
"Minor pain, prescribed rest due to Dysuria",LOW
"E05.90: Thyrotoxicosis, unspecified (moderate symptoms, requires monitoring)",MEDIUM
Stable but requires medication adjustment due to Calculus of gallbladder without obstruction,MEDIUM
acute leukemia of unspecified cell type,HIGH
"Acute emergency, rapid response due to Acute kidney failure, unspecified",HIGH
suspected infectious gastroenteritis and colitis,MEDIUM
"N39.0: Urinary tract infection, site not specified (minor condition, follow-up in 2 weeks)",LOW
"confirmed case of malignant neoplasm of colon, unspecified",HIGH
"N39.0: Urinary tract infection, site not specified (patient stable, outpatient treatment)",LOW
Superficial injury of unspecified body region,LOW
Liver cell carcinoma - immediate surgery required,HIGH
"Infectious gastroenteritis and colitis - chronic condition, ongoing treatment",MEDIUM
Amyotrophic lateral sclerosis (ALS),HIGH
E11.9: Type 2 diabetes mellitus without complications (needs specialist referral),MEDIUM
"A41.9: Sepsis, unspecified organism (acute emergency, rapid response)",HIGH
"C43.9: Malignant melanoma of skin, unspecified (severe trauma protocol active)",HIGH
"Thyrotoxicosis, unspecified - uncomfortable episode, managing with meds",MEDIUM
"I71.3: Abdominal aortic aneurysm, ruptured (advanced stage, palliative care discussed)",HIGH
"I71.3: Abdominal aortic aneurysm, ruptured (advanced stage, palliative care discussed)",HIGH
"F43.10 - Post-traumatic stress disorder, unspecified",MEDIUM
"Sepsis, unspecified organism - fatal prognosis risk",HIGH
Pain in unspecified joint,LOW
I10: Essential (primary) hypertension (recurring symptoms),MEDIUM
"Mild symptoms, no complications due to Allergic rhinitis, unspecified",LOW
"S06.9 - Intracranial injury, unspecified",HIGH
"Viral wart, unspecified",LOW
"assessment: dental caries, unspecified",LOW
"History of Mild intermittent asthma, uncomplicated",MEDIUM
"Bacterial infection, unspecified (severe) - advanced stage, palliative care discussed",HIGH
"Moderate symptoms, requires monitoring due to Hypothyroidism, unspecified",MEDIUM
K72.00: Acute and subacute hepatic failure (severe trauma protocol active),HIGH
"F43.10: Post-traumatic stress disorder, unspecified (flare-up event)",MEDIUM
"C43.9: Malignant melanoma of skin, unspecified (advanced stage, palliative care discussed)",HIGH
Contusion of finger - routine exam,LOW
"C43.9: Malignant melanoma of skin, unspecified (immediate surgery required)",HIGH
"F51.01: Primary insomnia (patient stable, outpatient treatment)",LOW
"E03.9: Hypothyroidism, unspecified (flare-up event)",MEDIUM
"Confirmed case of Schizophrenia, unspecified",HIGH
"Lateral epicondylitis - mild symptoms, no complications",LOW
"N18.6: End stage renal disease (life-threatening, immediate intervention)",HIGH
"malignant neoplasm of pancreas, unspecified",HIGH
"Patient presents with Anemia, unspecified",MEDIUM
urinary tract problem,LOW
"patient presents with anemia, unspecified",MEDIUM
"Patient stable, outpatient treatment due to Vitamin E deficiency",LOW
"Spondylosis with radiculopathy, cervical - stable but requires medication adjustment",MEDIUM
Suspected Unspecified cirrhosis of liver,HIGH
"Unspecified abdominal pain - mild symptoms, no complications",LOW
end stage problem,HIGH
C18.9 Malignant neoplasm,HIGH
"emphysema, unspecified",HIGH
"Slight discomfort reported due to Viral infection, unspecified",LOW
K21.0 Gastro-esophageal reflux,MEDIUM
peripheral vascular problem,MEDIUM
K30: Functional dyspepsia (slight discomfort reported),LOW
